id;company_name;brand_name;inn;owner;phone;address
1;injunction out;next along;coaxingly;upward following;517.452.2448 x09088;finally nautical
2;when;ew victoriously expense;short importance;notarize headline until;1-637-474-0437;masculinize meh ha
3;fooey inwardly considering;qua;urban hungrily completion;often yummy;361-579-8220 x22757;about
4;weird dull bah;lest;diligently knowingly;even;770-954-7514;whereas grave
5;round;oof whether;brown stupendous;display;(572) 736-1258 x896;so yearningly slowly
6;among;supposing honored fence;whose;whoa frenetically spiteful;660-781-2343;colorful boohoo fork
7;following our;ack international;pillow nicely;croon;907-739-9714 x610;phew besides battle
8;bright highly;frightfully consequently flu;kindheartedly;before;753.425.7543 x7043;nor
9;wholly book toward;arid over;pacemaker;joyfully hearten;(779) 917-7225;haunting
10;whose amongst;brr;who uh-huh lyre;less;(274) 947-3842 x6876;devil about
